aucsecode,aucsenm,catgorycode,catgorynewcode,catgorynewnm,catgorynm,cprinsttcode,cprinsttnewcode,cprmtccode,cpruseprdlstcode,cpruseprdlstnm,delngde,delngprut,delngqy,insttnewnm,insttnm,ledgno,rnum,sbidpric,shipmntsecode,shipmntsenm,sleseqn,stdfrmlcnewcode,stdfrmlcnewnm,stdmgnewcode,stdmgnewnm,stdmtcnewcode,stdmtcnewnm,stdprdlstcode,stdprdlstnewcode,stdprdlstnewnm,stdprdlstnm,stdqlitynewcode,stdqlitynewnm,stdspciescode,stdspciesnewcode,stdspciesnewnm,stdspciesnm,stdunitnewcode,stdunitnewnm,whsalmrktcode,whsalmrktnewcode,whsalmrktnewnm,whsalmrktnm
2,정가수의,10,10,엽경채류,엽경채류,11000101,6005601,536000,,,20150212,10,574,서울청과,서울청과,000000005315705,1,3300,,,0000000001,105,그물망,1ZZ,기타,59000,전라남도 해남군,1001,1001,배추,배추,11,특,100104,100104,월동배추,월동배추,12,kg,110001,1005601,가락동농수산물시장,서울가락도매시장
2,정가수의,10,10,엽경채류,엽경채류,11000101,6005601,536000,,,20150212,10,426,서울청과,서울청과,000000005315706,2,1980,,,0000000001,105,그물망,1ZZ,기타,59000,전라남도 해남군,1001,1001,배추,배추,13,보통,100104,100104,월동배추,월동배추,12,kg,110001,1005601,가락동농수산물시장,서울가락도매시장
2,정가수의,10,10,엽경채류,엽경채류,11000101,6005601,526000,,,20150212,15,100,서울청과,서울청과,000000005316238,3,10000,,,0000000001,101,상자,1ZZ,기타,58400,전라남도 영암군,1001,1001,배추,배추,11,특,100104,100104,월동배추,월동배추,12,kg,110001,1005601,가락동농수산물시장,서울가락도매시장
2,정가수의,10,10,엽경채류,엽경채류,11000101,6005601,536000,,,20150212,10,780,서울청과,서울청과,000000005316258,4,3000,,,0000000001,105,그물망,1ZZ,기타,59000,전라남도 해남군,1001,1001,배추,배추,11,특,100104,100104,월동배추,월동배추,12,kg,110001,1005601,가락동농수산물시장,서울가락도매시장
2,정가수의,10,10,엽경채류,엽경채류,11000101,6005601,536000,,,20150212,10,195,서울청과,서울청과,000000005316259,5,1800,,,0000000001,105,그물망,1ZZ,기타,59000,전라남도 해남군,1001,1001,배추,배추,13,보통,100104,100104,월동배추,월동배추,12,kg,110001,1005601,가락동농수산물시장,서울가락도매시장
1,경매,10,10,엽경채류,엽경채류,11000101,6005601,536000,,,20150212,10,760,서울청과,서울청과,000000005316913,6,4300,,,0000000001,105,그물망,1ZZ,기타,59000,전라남도 해남군,1001,1001,배추,배추,11,특,100104,100104,월동배추,월동배추,12,kg,110001,1005601,가락동농수산물시장,서울가락도매시장
1,경매,10,10,엽경채류,엽경채류,11000101,6005601,536000,,,20150212,10,190,서울청과,서울청과,000000005316914,7,2580,,,0000000001,105,그물망,1ZZ,기타,59000,전라남도 해남군,1001,1001,배추,배추,13,보통,100104,100104,월동배추,월동배추,12,kg,110001,1005601,가락동농수산물시장,서울가락도매시장
1,경매,10,10,엽경채류,엽경채류,11000101,6005601,534000,,,20150212,10,760,서울청과,서울청과,000000005317045,8,4200,,,0000000001,105,그물망,1ZZ,기타,58500,전라남도 무안군,1001,1001,배추,배추,11,특,100104,100104,월동배추,월동배추,12,kg,110001,1005601,가락동농수산물시장,서울가락도매시장
1,경매,10,10,엽경채류,엽경채류,11000101,6005601,534000,,,20150212,10,190,서울청과,서울청과,000000005317046,9,2520,,,0000000001,105,그물망,1ZZ,기타,58500,전라남도 무안군,1001,1001,배추,배추,13,보통,100104,100104,월동배추,월동배추,12,kg,110001,1005601,가락동농수산물시장,서울가락도매시장
1,경매,10,10,엽경채류,엽경채류,11000101,6005601,536000,,,20150212,10,720,서울청과,서울청과,000000005317059,10,4500,,,0000000001,105,그물망,1ZZ,기타,59000,전라남도 해남군,1001,1001,배추,배추,11,특,100104,100104,월동배추,월동배추,12,kg,110001,1005601,가락동농수산물시장,서울가락도매시장
