aucsecode,aucsenm,catgorycode,catgorynewcode,catgorynewnm,catgorynm,cprinsttcode,cprinsttnewcode,cprmtccode,cpruseprdlstcode,cpruseprdlstnm,delngde,delngprut,delngqy,insttnewnm,insttnm,ledgno,rnum,sbidpric,shipmntsecode,shipmntsenm,sleseqn,stdfrmlcnewcode,stdfrmlcnewnm,stdmgnewcode,stdmgnewnm,stdmtcnewcode,stdmtcnewnm,stdprdlstcode,stdprdlstnewcode,stdprdlstnewnm,stdprdlstnm,stdqlitynewcode,stdqlitynewnm,stdspciescode,stdspciesnewcode,stdspciesnewnm,stdspciesnm,stdunitnewcode,stdunitnewnm,whsalmrktcode,whsalmrktnewcode,whsalmrktnewnm,whsalmrktnm
1,경매,10,10,엽경채류,엽경채류,11000101,6005601,526812,,,20060501,10,810,서울청과,서울청과,000000000000001,1,3300,1,협동,0000000001,101,상자,1ZZ,기타,58400,전라남도 영암군,1001,1001,배추,배추,1Z,무등급,100101,100101,봄배추,봄배추,12,kg,110001,1005601,가락동농수산물시장,서울가락도매시장
1,경매,10,10,엽경채류,엽경채류,21000101,6046902,627805,3408,배추,20060501,2,12,농협부산(공),농협부산(공),000000000001536,2,5000,2,계통,0000000010,1ZZ,기타,1ZZ,기타,50400,경상남도 밀양시,1001,1001,배추,배추,12,상,100108,100108,쌈(알배기)배추,쌈배추,12,kg,210001,1046901,부산엄궁농산물도매시장,부산엄궁도매시장
1,경매,10,10,엽경채류,엽경채류,21000101,6046902,618808,3408,배추,20060501,2,35,농협부산(공),농협부산(공),000000000001538,3,2000,2,계통,0000000060,1ZZ,기타,1ZZ,기타,46700,부산광역시 강서구,1001,1001,배추,배추,12,상,100108,100108,쌈(알배기)배추,쌈배추,12,kg,210001,1046901,부산엄궁농산물도매시장,부산엄궁도매시장
1,경매,10,10,엽경채류,엽경채류,21000101,6046902,617831,3408,배추,20060501,2,30,농협부산(공),농협부산(공),000000000001539,4,4600,3,개별,0000000010,1ZZ,기타,1ZZ,기타,46900,부산광역시 사상구,1001,1001,배추,배추,12,상,100108,100108,쌈(알배기)배추,쌈배추,12,kg,210001,1046901,부산엄궁농산물도매시장,부산엄궁도매시장
1,경매,10,10,엽경채류,엽경채류,21000101,6046902,617831,3408,배추,20060501,2,10,농협부산(공),농협부산(공),000000000001559,5,2900,3,개별,0000000010,1ZZ,기타,1ZZ,기타,46900,부산광역시 사상구,1001,1001,배추,배추,12,상,100108,100108,쌈(알배기)배추,쌈배추,12,kg,210001,1046901,부산엄궁농산물도매시장,부산엄궁도매시장
1,경매,10,10,엽경채류,엽경채류,21000101,6046902,617831,3408,배추,20060501,2,8,농협부산(공),농협부산(공),000000000001559,6,800,3,개별,0000000040,1ZZ,기타,1ZZ,기타,46900,부산광역시 사상구,1001,1001,배추,배추,12,상,100108,100108,쌈(알배기)배추,쌈배추,12,kg,210001,1046901,부산엄궁농산물도매시장,부산엄궁도매시장
1,경매,10,10,엽경채류,엽경채류,21000101,6046902,617831,3408,배추,20060501,2,10,농협부산(공),농협부산(공),000000000001559,7,2400,3,개별,0000000050,1ZZ,기타,1ZZ,기타,46900,부산광역시 사상구,1001,1001,배추,배추,12,상,100108,100108,쌈(알배기)배추,쌈배추,12,kg,210001,1046901,부산엄궁농산물도매시장,부산엄궁도매시장
1,경매,10,10,엽경채류,엽경채류,21000101,6046902,617831,3408,배추,20060501,2,6,농협부산(공),농협부산(공),000000000001559,8,1600,3,개별,0000000060,1ZZ,기타,1ZZ,기타,46900,부산광역시 사상구,1001,1001,배추,배추,12,상,100108,100108,쌈(알배기)배추,쌈배추,12,kg,210001,1046901,부산엄궁농산물도매시장,부산엄궁도매시장
1,경매,10,10,엽경채류,엽경채류,21000101,6046902,617831,3408,배추,20060501,2,55,농협부산(공),농협부산(공),000000000001562,9,5800,3,개별,0000000010,1ZZ,기타,1ZZ,기타,46900,부산광역시 사상구,1001,1001,배추,배추,12,상,100108,100108,쌈(알배기)배추,쌈배추,12,kg,210001,1046901,부산엄궁농산물도매시장,부산엄궁도매시장
1,경매,10,10,엽경채류,엽경채류,21000101,6046902,617831,3412,배추,20060501,12,53,농협부산(공),농협부산(공),000000000001740,10,4600,3,개별,0000000010,1ZZ,기타,106,6,46900,부산광역시 사상구,1001,1001,배추,배추,12,상,100104,100104,월동배추,월동배추,12,kg,210001,1046901,부산엄궁농산물도매시장,부산엄궁도매시장
