aucsecode,aucsenm,catgorycode,catgorynewcode,catgorynewnm,catgorynm,cprinsttcode,cprinsttnewcode,cprmtccode,cpruseprdlstcode,cpruseprdlstnm,delngde,delngprut,delngqy,insttnewnm,insttnm,ledgno,rnum,sbidpric,shipmntsecode,shipmntsenm,sleseqn,stdfrmlcnewcode,stdfrmlcnewnm,stdmgnewcode,stdmgnewnm,stdmtcnewcode,stdmtcnewnm,stdprdlstcode,stdprdlstnewcode,stdprdlstnewnm,stdprdlstnm,stdqlitynewcode,stdqlitynewnm,stdspciescode,stdspciesnewcode,stdspciesnewnm,stdspciesnm,stdunitnewcode,stdunitnewnm,whsalmrktcode,whsalmrktnewcode,whsalmrktnewnm,whsalmrktnm
1,경매,10,10,엽경채류,엽경채류,11000101,6005601,536000,,,20150211,10,720,서울청과,서울청과,000000005276514,1,5100,,,0000000001,105,그물망,1ZZ,기타,59000,전라남도 해남군,1001,1001,배추,배추,11,특,100104,100104,월동배추,월동배추,12,kg,110001,1005601,가락동농수산물시장,서울가락도매시장
1,경매,10,10,엽경채류,엽경채류,11000101,6005601,536000,,,20150211,10,180,서울청과,서울청과,000000005276515,2,3060,,,0000000001,105,그물망,1ZZ,기타,59000,전라남도 해남군,1001,1001,배추,배추,13,보통,100104,100104,월동배추,월동배추,12,kg,110001,1005601,가락동농수산물시장,서울가락도매시장
1,경매,10,10,엽경채류,엽경채류,11000101,6005601,534000,,,20150211,10,760,서울청과,서울청과,000000005276560,3,4200,,,0000000001,105,그물망,1ZZ,기타,58500,전라남도 무안군,1001,1001,배추,배추,11,특,100104,100104,월동배추,월동배추,12,kg,110001,1005601,가락동농수산물시장,서울가락도매시장
1,경매,10,10,엽경채류,엽경채류,11000101,6005601,534000,,,20150211,10,190,서울청과,서울청과,000000005276561,4,2520,,,0000000001,105,그물망,1ZZ,기타,58500,전라남도 무안군,1001,1001,배추,배추,13,보통,100104,100104,월동배추,월동배추,12,kg,110001,1005601,가락동농수산물시장,서울가락도매시장
2,정가수의,10,10,엽경채류,엽경채류,11000101,6005601,539000,,,20150211,10,620,서울청과,서울청과,000000005276666,5,4000,,,0000000001,105,그물망,1ZZ,기타,58900,전라남도 진도군,1001,1001,배추,배추,11,특,100104,100104,월동배추,월동배추,12,kg,110001,1005601,가락동농수산물시장,서울가락도매시장
2,정가수의,10,10,엽경채류,엽경채류,11000101,6005601,539000,,,20150211,10,380,서울청과,서울청과,000000005276667,6,2400,,,0000000001,105,그물망,1ZZ,기타,58900,전라남도 진도군,1001,1001,배추,배추,13,보통,100104,100104,월동배추,월동배추,12,kg,110001,1005601,가락동농수산물시장,서울가락도매시장
1,경매,10,10,엽경채류,엽경채류,11000101,6005601,536000,,,20150211,10,720,서울청과,서울청과,000000005277598,7,3600,,,0000000001,105,그물망,1ZZ,기타,59000,전라남도 해남군,1001,1001,배추,배추,11,특,100104,100104,월동배추,월동배추,12,kg,110001,1005601,가락동농수산물시장,서울가락도매시장
1,경매,10,10,엽경채류,엽경채류,11000101,6005601,536000,,,20150211,10,180,서울청과,서울청과,000000005277599,8,2160,,,0000000001,105,그물망,1ZZ,기타,59000,전라남도 해남군,1001,1001,배추,배추,13,보통,100104,100104,월동배추,월동배추,12,kg,110001,1005601,가락동농수산물시장,서울가락도매시장
2,정가수의,10,10,엽경채류,엽경채류,11000101,6005601,536000,,,20150211,10,760,서울청과,서울청과,000000005277759,9,4800,,,0000000001,105,그물망,1ZZ,기타,59000,전라남도 해남군,1001,1001,배추,배추,11,특,100104,100104,월동배추,월동배추,12,kg,110001,1005601,가락동농수산물시장,서울가락도매시장
2,정가수의,10,10,엽경채류,엽경채류,11000101,6005601,536000,,,20150211,10,190,서울청과,서울청과,000000005277760,10,2880,,,0000000001,105,그물망,1ZZ,기타,59000,전라남도 해남군,1001,1001,배추,배추,13,보통,100104,100104,월동배추,월동배추,12,kg,110001,1005601,가락동농수산물시장,서울가락도매시장
