aucsecode,aucsenm,catgorycode,catgorynewcode,catgorynewnm,catgorynm,cprinsttcode,cprinsttnewcode,cprmtccode,cpruseprdlstcode,cpruseprdlstnm,delngde,delngprut,delngqy,insttnewnm,insttnm,ledgno,rnum,sbidpric,shipmntsecode,shipmntsenm,sleseqn,stdfrmlcnewcode,stdfrmlcnewnm,stdmgnewcode,stdmgnewnm,stdmtcnewcode,stdmtcnewnm,stdprdlstcode,stdprdlstnewcode,stdprdlstnewnm,stdprdlstnm,stdqlitynewcode,stdqlitynewnm,stdspciescode,stdspciesnewcode,stdspciesnewnm,stdspciesnm,stdunitnewcode,stdunitnewnm,whsalmrktcode,whsalmrktnewcode,whsalmrktnewnm,whsalmrktnm
2,정가수의,10,10,엽경채류,엽경채류,11000101,6005601,536000,,,20150203,10,760,서울청과,서울청과,000000004990709,1,3300,,,0000000001,105,그물망,1ZZ,기타,59000,전라남도 해남군,1001,1001,배추,배추,11,특,100104,100104,월동배추,월동배추,12,kg,110001,1005601,가락동농수산물시장,서울가락도매시장
2,정가수의,10,10,엽경채류,엽경채류,11000101,6005601,536000,,,20150203,10,190,서울청과,서울청과,000000004990710,2,1980,,,0000000001,105,그물망,1ZZ,기타,59000,전라남도 해남군,1001,1001,배추,배추,13,보통,100104,100104,월동배추,월동배추,12,kg,110001,1005601,가락동농수산물시장,서울가락도매시장
2,정가수의,10,10,엽경채류,엽경채류,11000101,6005601,536000,,,20150203,10,800,서울청과,서울청과,000000004990933,3,2500,,,0000000001,105,그물망,1ZZ,기타,59000,전라남도 해남군,1001,1001,배추,배추,11,특,100104,100104,월동배추,월동배추,12,kg,110001,1005601,가락동농수산물시장,서울가락도매시장
2,정가수의,10,10,엽경채류,엽경채류,11000101,6005601,536000,,,20150203,10,95,서울청과,서울청과,000000004990934,4,1500,,,0000000001,105,그물망,1ZZ,기타,59000,전라남도 해남군,1001,1001,배추,배추,13,보통,100104,100104,월동배추,월동배추,12,kg,110001,1005601,가락동농수산물시장,서울가락도매시장
2,정가수의,10,10,엽경채류,엽경채류,11000101,6005601,536000,,,20150203,10,105,서울청과,서울청과,000000004990935,5,1500,,,0000000001,105,그물망,1ZZ,기타,59000,전라남도 해남군,1001,1001,배추,배추,13,보통,100104,100104,월동배추,월동배추,12,kg,110001,1005601,가락동농수산물시장,서울가락도매시장
1,경매,10,10,엽경채류,엽경채류,11000102,6005607,695000,,,20150203,15,14,농협가락(공),농협가락(공),000000004993138,6,11000,,,0000000001,101,상자,1ZZ,기타,00000,,1001,1001,배추,배추,11,특,100199,100199,기타,기타,12,kg,110001,1005601,가락동농수산물시장,서울가락도매시장
1,경매,10,10,엽경채류,엽경채류,11000102,6005607,695000,,,20150203,15,16,농협가락(공),농협가락(공),000000004993139,7,14000,,,0000000001,101,상자,1ZZ,기타,00000,,1001,1001,배추,배추,11,특,100199,100199,기타,기타,12,kg,110001,1005601,가락동농수산물시장,서울가락도매시장
1,경매,10,10,엽경채류,엽경채류,11000102,6005607,695000,,,20150203,15,26,농협가락(공),농협가락(공),000000004993141,8,12500,,,0000000001,101,상자,1ZZ,기타,00000,,1001,1001,배추,배추,11,특,100199,100199,기타,기타,12,kg,110001,1005601,가락동농수산물시장,서울가락도매시장
1,경매,10,10,엽경채류,엽경채류,11000102,6005607,695000,,,20150203,15,24,농협가락(공),농협가락(공),000000004993142,9,13000,,,0000000001,101,상자,1ZZ,기타,00000,,1001,1001,배추,배추,11,특,100199,100199,기타,기타,12,kg,110001,1005601,가락동농수산물시장,서울가락도매시장
1,경매,10,10,엽경채류,엽경채류,11000102,6005607,695000,,,20150203,15,10,농협가락(공),농협가락(공),000000004993143,10,10500,,,0000000001,101,상자,1ZZ,기타,00000,,1001,1001,배추,배추,11,특,100199,100199,기타,기타,12,kg,110001,1005601,가락동농수산물시장,서울가락도매시장
