aucsecode,aucsenm,catgorycode,catgorynewcode,catgorynewnm,catgorynm,cprinsttcode,cprinsttnewcode,cprmtccode,cpruseprdlstcode,cpruseprdlstnm,delngde,delngprut,delngqy,insttnewnm,insttnm,ledgno,rnum,sbidpric,shipmntsecode,shipmntsenm,sleseqn,stdfrmlcnewcode,stdfrmlcnewnm,stdmgnewcode,stdmgnewnm,stdmtcnewcode,stdmtcnewnm,stdprdlstcode,stdprdlstnewcode,stdprdlstnewnm,stdprdlstnm,stdqlitynewcode,stdqlitynewnm,stdspciescode,stdspciesnewcode,stdspciesnewnm,stdspciesnm,stdunitnewcode,stdunitnewnm,whsalmrktcode,whsalmrktnewcode,whsalmrktnewnm,whsalmrktnm
1,경매,10,10,엽경채류,엽경채류,36010101,6058702,950-00,30100,배추,20090101,12,62,목포농수산,목포농수산,000000000200901,1,2400,3,개별,0000000001,105,그물망,1ZZ,기타,00000,,1001,1001,배추,배추,11,특,100199,100199,기타,기타,12,kg,360101,2058701,목포농산물도매시장,목포농산시장
1,경매,10,10,엽경채류,엽경채류,36010101,6058702,950-00,30100,배추,20090101,11,125,목포농수산,목포농수산,000000000200901,2,1880,3,개별,0000000002,105,그물망,1ZZ,기타,00000,,1001,1001,배추,배추,12,상,100199,100199,기타,기타,12,kg,360101,2058701,목포농산물도매시장,목포농산시장
1,경매,10,10,엽경채류,엽경채류,36010101,6058702,950-00,30100,배추,20090101,9,45,목포농수산,목포농수산,000000000200901,3,1300,3,개별,0000000003,105,그물망,1ZZ,기타,00000,,1001,1001,배추,배추,13,보통,100199,100199,기타,기타,12,kg,360101,2058701,목포농산물도매시장,목포농산시장
1,경매,10,10,엽경채류,엽경채류,36010101,6058702,950-00,30100,배추,20090101,13,11,목포농수산,목포농수산,000000000201101,4,2000,3,개별,0000000001,105,그물망,1ZZ,기타,00000,,1001,1001,배추,배추,00,,100199,100199,기타,기타,12,kg,360101,2058701,목포농산물도매시장,목포농산시장
1,경매,10,10,엽경채류,엽경채류,36010101,6058702,950-00,30100,배추,20090101,11,54,목포농수산,목포농수산,000000000201101,5,1800,3,개별,0000000002,105,그물망,1ZZ,기타,00000,,1001,1001,배추,배추,00,,100199,100199,기타,기타,12,kg,360101,2058701,목포농산물도매시장,목포농산시장
1,경매,10,10,엽경채류,엽경채류,36010101,6058702,950-00,30100,배추,20090101,10,40,목포농수산,목포농수산,000000000201101,6,1330,3,개별,0000000003,105,그물망,1ZZ,기타,00000,,1001,1001,배추,배추,00,,100199,100199,기타,기타,12,kg,360101,2058701,목포농산물도매시장,목포농산시장
1,경매,10,10,엽경채류,엽경채류,36010101,6058702,950-00,30100,배추,20090101,8,23,목포농수산,목포농수산,000000000201101,7,1000,3,개별,0000000004,105,그물망,1ZZ,기타,00000,,1001,1001,배추,배추,00,,100199,100199,기타,기타,12,kg,360101,2058701,목포농산물도매시장,목포농산시장
