aucsecode,aucsenm,catgorycode,catgorynewcode,catgorynewnm,catgorynm,cprinsttcode,cprinsttnewcode,cprmtccode,cpruseprdlstcode,cpruseprdlstnm,delngde,delngprut,delngqy,insttnewnm,insttnm,ledgno,rnum,sbidpric,shipmntsecode,shipmntsenm,sleseqn,stdfrmlcnewcode,stdfrmlcnewnm,stdmgnewcode,stdmgnewnm,stdmtcnewcode,stdmtcnewnm,stdprdlstcode,stdprdlstnewcode,stdprdlstnewnm,stdprdlstnm,stdqlitynewcode,stdqlitynewnm,stdspciescode,stdspciesnewcode,stdspciesnewnm,stdspciesnm,stdunitnewcode,stdunitnewnm,whsalmrktcode,whsalmrktnewcode,whsalmrktnewnm,whsalmrktnm
2,정가수의,10,10,엽경채류,엽경채류,11000101,6005601,536000,,,20150210,10,800,서울청과,서울청과,000000005233503,1,3100,,,0000000001,105,그물망,1ZZ,기타,59000,전라남도 해남군,1001,1001,배추,배추,11,특,100104,100104,월동배추,월동배추,12,kg,110001,1005601,가락동농수산물시장,서울가락도매시장
2,정가수의,10,10,엽경채류,엽경채류,11000101,6005601,536000,,,20150210,10,200,서울청과,서울청과,000000005233504,2,1860,,,0000000001,105,그물망,1ZZ,기타,59000,전라남도 해남군,1001,1001,배추,배추,13,보통,100104,100104,월동배추,월동배추,12,kg,110001,1005601,가락동농수산물시장,서울가락도매시장
2,정가수의,10,10,엽경채류,엽경채류,11000101,6005601,536000,,,20150210,10,724,서울청과,서울청과,000000005233534,3,5300,,,0000000001,105,그물망,1ZZ,기타,59000,전라남도 해남군,1001,1001,배추,배추,11,특,100104,100104,월동배추,월동배추,12,kg,110001,1005601,가락동농수산물시장,서울가락도매시장
2,정가수의,10,10,엽경채류,엽경채류,11000101,6005601,536000,,,20150210,10,181,서울청과,서울청과,000000005233535,4,3180,,,0000000001,105,그물망,1ZZ,기타,59000,전라남도 해남군,1001,1001,배추,배추,13,보통,100104,100104,월동배추,월동배추,12,kg,110001,1005601,가락동농수산물시장,서울가락도매시장
2,정가수의,10,10,엽경채류,엽경채류,11000101,6005601,536000,,,20150210,10,780,서울청과,서울청과,000000005233543,5,3600,,,0000000001,105,그물망,1ZZ,기타,59000,전라남도 해남군,1001,1001,배추,배추,11,특,100104,100104,월동배추,월동배추,12,kg,110001,1005601,가락동농수산물시장,서울가락도매시장
2,정가수의,10,10,엽경채류,엽경채류,11000101,6005601,536000,,,20150210,10,195,서울청과,서울청과,000000005233544,6,2160,,,0000000001,105,그물망,1ZZ,기타,59000,전라남도 해남군,1001,1001,배추,배추,13,보통,100104,100104,월동배추,월동배추,12,kg,110001,1005601,가락동농수산물시장,서울가락도매시장
2,정가수의,10,10,엽경채류,엽경채류,11000101,6005601,536000,,,20150210,10,760,서울청과,서울청과,000000005235440,7,5500,,,0000000001,105,그물망,1ZZ,기타,59000,전라남도 해남군,1001,1001,배추,배추,11,특,100104,100104,월동배추,월동배추,12,kg,110001,1005601,가락동농수산물시장,서울가락도매시장
2,정가수의,10,10,엽경채류,엽경채류,11000101,6005601,536000,,,20150210,10,190,서울청과,서울청과,000000005235441,8,3300,,,0000000001,105,그물망,1ZZ,기타,59000,전라남도 해남군,1001,1001,배추,배추,13,보통,100104,100104,월동배추,월동배추,12,kg,110001,1005601,가락동농수산물시장,서울가락도매시장
4,매수도매,10,10,엽경채류,엽경채류,11000101,6005601,535000,,,20150210,4,216,서울청과,서울청과,000000005236219,9,6500,,,0000000001,101,상자,1ZZ,기타,58800,전라남도 신안군,1001,1001,배추,배추,11,특,100108,100108,쌈(알배기)배추,쌈배추,12,kg,110001,1005601,가락동농수산물시장,서울가락도매시장
1,경매,10,10,엽경채류,엽경채류,11000101,6005601,138000,,,20150210,10,800,서울청과,서울청과,000000005236255,10,3700,,,0000000001,105,그물망,1ZZ,기타,05600,서울특별시 송파구,1001,1001,배추,배추,11,특,100104,100104,월동배추,월동배추,12,kg,110001,1005601,가락동농수산물시장,서울가락도매시장
