aucsecode,aucsenm,catgorycode,catgorynewcode,catgorynewnm,catgorynm,cprinsttcode,cprinsttnewcode,cprmtccode,cpruseprdlstcode,cpruseprdlstnm,delngde,delngprut,delngqy,insttnewnm,insttnm,ledgno,rnum,sbidpric,shipmntsecode,shipmntsenm,sleseqn,stdfrmlcnewcode,stdfrmlcnewnm,stdmgnewcode,stdmgnewnm,stdmtcnewcode,stdmtcnewnm,stdprdlstcode,stdprdlstnewcode,stdprdlstnewnm,stdprdlstnm,stdqlitynewcode,stdqlitynewnm,stdspciescode,stdspciesnewcode,stdspciesnewnm,stdspciesnm,stdunitnewcode,stdunitnewnm,whsalmrktcode,whsalmrktnewcode,whsalmrktnewnm,whsalmrktnm
2,정가수의,10,10,엽경채류,엽경채류,11000101,6005601,536000,,,20150209,10,590,서울청과,서울청과,000000005185988,1,2400,,,0000000001,105,그물망,1ZZ,기타,59000,전라남도 해남군,1001,1001,배추,배추,11,특,100104,100104,월동배추,월동배추,12,kg,110001,1005601,가락동농수산물시장,서울가락도매시장
2,정가수의,10,10,엽경채류,엽경채류,11000101,6005601,536000,,,20150209,10,60,서울청과,서울청과,000000005185989,2,1440,,,0000000001,105,그물망,1ZZ,기타,59000,전라남도 해남군,1001,1001,배추,배추,13,보통,100104,100104,월동배추,월동배추,12,kg,110001,1005601,가락동농수산물시장,서울가락도매시장
2,정가수의,10,10,엽경채류,엽경채류,11000101,6005601,536000,,,20150209,10,300,서울청과,서울청과,000000005185990,3,1440,,,0000000001,105,그물망,1ZZ,기타,59000,전라남도 해남군,1001,1001,배추,배추,13,보통,100104,100104,월동배추,월동배추,12,kg,110001,1005601,가락동농수산물시장,서울가락도매시장
1,경매,10,10,엽경채류,엽경채류,11000101,6005601,536000,,,20150209,10,768,서울청과,서울청과,000000005186060,4,3700,,,0000000001,105,그물망,1ZZ,기타,59000,전라남도 해남군,1001,1001,배추,배추,11,특,100104,100104,월동배추,월동배추,12,kg,110001,1005601,가락동농수산물시장,서울가락도매시장
1,경매,10,10,엽경채류,엽경채류,11000101,6005601,536000,,,20150209,10,192,서울청과,서울청과,000000005186061,5,2220,,,0000000001,105,그물망,1ZZ,기타,59000,전라남도 해남군,1001,1001,배추,배추,13,보통,100104,100104,월동배추,월동배추,12,kg,110001,1005601,가락동농수산물시장,서울가락도매시장
2,정가수의,10,10,엽경채류,엽경채류,11000101,6005601,536000,,,20150209,10,800,서울청과,서울청과,000000005186205,6,2800,,,0000000001,105,그물망,1ZZ,기타,59000,전라남도 해남군,1001,1001,배추,배추,11,특,100104,100104,월동배추,월동배추,12,kg,110001,1005601,가락동농수산물시장,서울가락도매시장
2,정가수의,10,10,엽경채류,엽경채류,11000101,6005601,536000,,,20150209,10,200,서울청과,서울청과,000000005186206,7,1680,,,0000000001,105,그물망,1ZZ,기타,59000,전라남도 해남군,1001,1001,배추,배추,13,보통,100104,100104,월동배추,월동배추,12,kg,110001,1005601,가락동농수산물시장,서울가락도매시장
1,경매,10,10,엽경채류,엽경채류,11000102,6005607,695000,,,20150209,15,4,농협가락(공),농협가락(공),000000005191864,8,9500,,,0000000001,101,상자,1ZZ,기타,00000,,1001,1001,배추,배추,11,특,100199,100199,기타,기타,12,kg,110001,1005601,가락동농수산물시장,서울가락도매시장
1,경매,10,10,엽경채류,엽경채류,11000102,6005607,695000,,,20150209,15,2,농협가락(공),농협가락(공),000000005191865,9,6000,,,0000000001,101,상자,124,40내,00000,,1001,1001,배추,배추,11,특,100199,100199,기타,기타,12,kg,110001,1005601,가락동농수산물시장,서울가락도매시장
1,경매,10,10,엽경채류,엽경채류,11000102,6005607,695000,,,20150209,15,22,농협가락(공),농협가락(공),000000005191866,10,7500,,,0000000001,101,상자,1ZZ,기타,00000,,1001,1001,배추,배추,11,특,100199,100199,기타,기타,12,kg,110001,1005601,가락동농수산물시장,서울가락도매시장
